,0,score,known
310,RBP5,0.8267642249041234,0
311,MAOA,0.8267551954292127,0
314,IL7,0.8262611041898591,0
315,AZIN2,0.8262102985657946,0
316,S100B,0.8260880970079347,0
319,CRAT,0.8248701331549877,0
320,DDIT3,0.8247812185312785,0
321,LIPF,0.8246796705411017,0
322,PNLIPRP3,0.8240503702369396,0
323,NFATC1,0.8239353765524304,0
324,KLF2,0.8237552964562435,0
325,CREB3L3,0.8236600969736276,0
326,UGT1A3,0.8234333624402383,0
328,PLA2G7,0.8229897618999666,0
331,CYP2R1,0.8219243920724667,0
332,PRDX6,0.8215642079698917,0
333,IL13RA1,0.8212204646110024,0
334,INMT,0.8206987482251755,0
335,LRP8,0.8200397388366061,0
336,CYP1B1,0.818939803603139,0
338,TBL1X,0.8171144831545357,0
339,ETS1,0.8168130825943785,0
342,LMF1,0.816501153872935,0
344,GPC3,0.8158064314758602,0
345,CTLA4,0.8145857870842953,0
346,TLR1,0.814500459988642,0
347,NRIP1,0.8139858611372571,0
348,ISX,0.8139134729593414,0
350,IL6R,0.8130917901014738,0
351,TFPI,0.8130616306337052,0
352,SDC1,0.8129903758695075,0
353,FXYD2,0.8123016598446444,0
354,CSF1R,0.8122486487238241,0
355,KLK1,0.8120704441902318,0
356,ABCB1,0.8120295968951549,0
357,UGT1A8,0.8119621226260963,0
359,SLC35A2,0.8105284530089623,0
360,GRSF1,0.8098526775330447,0
362,PTBP3,0.8094330146503257,0
363,TBL1XR1,0.8090185548951053,0
365,SP1,0.8079325588757786,0
366,ADH7,0.807055488399093,0
367,ACADL,0.8064996616084417,0
368,PLA2G2D,0.8062298144169274,0
369,UGT1A4,0.8061596827387317,0
370,TXNRD3,0.8058781940665107,0
373,CBR1,0.8044581328022744,0
374,SCD5,0.8044501289839685,0
376,GGT1,0.8042364151357765,0
377,TNFRSF21,0.80419968392185,0
378,RORC,0.8036900203326206,0
379,TTR,0.8033318123232657,0
380,FOXO3,0.802819413718357,0
381,ACSBG2,0.8025827978904219,0
382,FAM198B,0.8021471775550366,0
385,PEX5L,0.8014648090891798,0
386,CYP27B1,0.8010612510017484,0
387,ADH6,0.8005743346180488,0
388,UGT2B4,0.7999699926151667,0
389,ALAS1,0.7996923756922268,0
390,ACSM2A,0.7985290947452467,0
391,IGFBP1,0.7981134085731045,0
392,LY96,0.7977377587593324,0
393,CYP7A1,0.7974562104793022,0
395,CCL3L3,0.7969377278343321,0
397,NUDT19,0.7956409093251704,0
398,S100A10,0.7952619209963565,0
399,ALOX12B,0.7950012577484912,0
400,GRHPR,0.7949260909007162,0
401,OSMR,0.7948119986886811,0
402,CCL11,0.7948060036558633,0
403,PNPLA4,0.7933579494675027,0
404,AKR7A2,0.7933023360030135,0
405,CARD9,0.7932756983361686,0
407,OSM,0.7929295929858509,0
408,PRRT2,0.7927756141565192,0
410,IRAK3,0.792681916539033,0
412,MMP2,0.7910406099737937,0
413,CEL,0.7909397597058758,0
414,NAIP,0.7906034896197743,0
415,FMO4,0.7904815953170967,0
417,CYP2F1,0.7894390002022904,0
418,IGFALS,0.7890313053448216,0
419,SIM2,0.7887246329425807,0
420,ALDH7A1,0.7887126610949264,0
423,SMARCD3,0.7875049761096862,0
424,DUSP8,0.7867556249725944,0
425,ABCC6,0.7864571533817851,0
427,MAPK1,0.7853806461259097,0
428,HSPG2,0.7853185385866165,0
429,ACSM5,0.7853101116515956,0
431,ANGPT1,0.7845808819999416,0
432,LRAT,0.784191661857509,0
433,IGFBP3,0.7841601464252753,0
434,CNTF,0.7829715353836684,0
435,ACOT4,0.7828373911222587,0
436,ENSG00000173366,0.7822588424802038,0
437,ABCD1,0.7818820597713908,0
439,BCO1,0.7816129165572144,0
440,ARG2,0.7814350187825881,0
441,IL37,0.7811389778065155,0
