,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ADIPOGENESIS,-95.57060092569999,-127.9825715162,-79.8004105265,45.7364526475,-24.0901485396,-46.1454460062,-35.390462682300004,-105.19247636,-66.389840975,59.57184946357001,-37.93106959799999,26.3648105002,21.917894868,-85.3659499105,47.7085301126,4.670488578900001,-18.18253837399,48.86916208337,-2.7514398384000014,3.3571211330000006,-62.62514897849999,-42.0255475577,-99.35155782749999,-152.534609294,24.283458832999997,-137.45420132520002,41.03603978589,-11.517727969700003,2.089889421799999,-10.497347337999996,3.3538997137000033,18.038998477600007,-9.730494010700003,-31.266117959300004,-87.43201645053,-16.137788639399997,-24.473971958699998,-107.424131931,224.277555281,-69.9327659853,17.1283399946,123.386772227,-15.464587804500002,72.69325031170001,42.95253382,-20.422795021717,58.95349454776999,193.70984808210002,-62.243290229,-33.7338067913,10.388786558,109.52881564040001,36.9540190565,115.06759501799999,67.1165060532,33.4647346087,-80.59915033760001,105.07210160300001,42.9038718184,22.8705250518,65.64887395230002,37.034166901800006,105.0391699537,47.628422117499994
ALLOGRAFT_REJECTION,-189.53416808300003,-132.71769255750002,30.933212074700002,-6.3318882379999994,-85.170465483,-56.03938158800001,128.37897602200002,32.660701681000006,127.050284919,241.5546419149,-43.981485565,125.8985765869,-28.434725024,-6.4144411786000015,21.9110770083,-26.293455608,-60.01642165330001,43.355302241000004,89.24185047419999,155.501927236,-127.96716789234,23.1413563785,-40.876316560700005,25.7103176585,-65.2652262627,3.9150426060000005,-6.3229495946999945,-55.248092238,-31.6427328715,-148.2717620855,-15.339338662000001,-81.7038309649,153.8405236564,-59.098395051,109.7306908348,49.67309794329999,-6.34329281726,-21.901734662,-22.638443234100002,45.859900102640005,226.7337895214,31.528013949400002,28.0859635678,199.81467129100002,-39.07629147494001,-33.90741250488,-117.1423810919,-50.611559822,-9.844994083100001,8.604449800000001,54.5067695334,168.147919119,-33.498221128400004,112.16361659305,130.2182992387,92.72885146300001,221.961382561,-28.1356723839,35.255006177300004,68.700527892,258.6069596901,71.4105687636,39.0401406009,28.522679303
ANDROGEN_RESPONSE,-32.0619343224,-19.315900298000006,-29.268900690000002,10.152223401999999,12.148159393199997,16.368661434259995,2.0692524840000024,10.956123381400005,14.264749471000002,40.679842299300006,4.0949124239999986,-4.765857127510001,-11.15435858466,-12.929395013300002,22.825933091000003,14.378129148400003,-21.562410320899996,-23.413248405,-1.8314745811200008,35.247658156,-40.808598659000005,-21.1429273424,-23.174654087,-26.662762306999998,-7.789196627999998,-31.652276177,12.965845092999999,1.3892621575699995,0.382013694500001,-0.8026019709999989,26.081576165999998,-11.639279988999998,12.588509149499998,-20.558181311,-3.5946474299999975,22.268682715399994,-12.352695250000004,-34.104780513,39.14056881649999,-5.122871725299999,-9.445363138000001,15.268270927900003,16.336586125000004,19.904467289700005,15.486997528999998,-5.452681364000002,-14.131098847700002,37.90441118500001,-8.071508011400002,9.564819907,4.726482440000002,35.102806106,11.622516048999998,33.011031263,6.234049166000001,13.42427094,-18.146541316999997,15.460086746899998,-24.204328261,21.608918998,20.265612423839997,-4.178379788,20.294790981000002,41.2558312985
ANGIOGENESIS,-6.922751193999999,-44.801377710000004,-32.454814828,21.84353588,-33.314302005,-0.42745104800000044,14.95406787,-3.7624533089999996,2.047174401,25.693879098000004,-1.7074061849999995,10.567110565,7.0622429040000005,-12.573172246,4.895230864000001,-3.9563082000000005,-32.691804669999996,18.118153431,1.91661952,23.2132045148,-13.633797046999998,3.5801955128999996,-2.038805630000001,7.080249905999999,13.615930485,18.826941770000005,0.844505067000001,-23.553214506000003,-1.1026940190000003,21.309552145999998,-13.638942144000001,-30.117103565000004,13.73695104789,-0.36714690939999994,11.802365873600003,23.766134119999997,6.679024554000001,8.675305875,5.859266275,-5.9691936765,16.767856372199997,-5.959465969000001,1.9500041929999996,23.932312432,3.4080675230599993,-7.890654442999999,-24.898729083,3.5535071240000002,-4.023263780999999,-7.5085476064000005,-33.34258555,56.256186955000004,-2.31685269,48.4978713,15.20468892965,40.939420950999995,5.138447999400003,6.723212446,29.481074972099997,2.0311909150000003,43.287859426,-13.65131135,32.863198610000005,-30.699967858000004
APICAL_JUNCTION,-130.3370281807,-111.88172764560001,-98.71317282980002,111.721980419,-115.0423461436,-73.5320378383,9.3404816153,-27.891464608499998,55.31259306630001,128.57608155870003,-4.638342279700009,50.548117242800004,-2.8415231640999963,11.777894307200004,-61.03934561100001,-2.469088623999997,-108.36417241141999,-39.74939577600001,-8.170992987100005,237.83563340249998,-70.74639557596998,5.078121561999998,57.92275792490001,28.950535568599996,32.2815413942,126.92489276679999,29.311827157799996,24.985645455000004,58.9581150124,2.7941733200000005,27.909968835,-36.239985121000004,54.538070393,8.099387329,56.74516861199999,100.68584457813,32.2320783404,136.91146835499998,-28.148289094900008,-25.5310947284,60.50247797830001,51.2286053657,106.7265530302,122.954042636,74.0005163833,-76.4834961958,-119.5660332464,-93.06868903150001,-75.3076562175,-17.5911507713,-19.3186242256,243.7942288073,78.513639383,166.38373078930002,4.2207047259999975,191.3711156508,60.008614772,-1.4387210941999986,63.352132736200005,81.2485641615,90.18665766470002,-89.855474026,4.112970435500003,46.320568880059994
APICAL_SURFACE,-1.8212901896000013,-32.508066008,-19.368021786,8.3095256057,-22.818168435000004,10.146602876999998,-0.7179139410000002,9.999968648000001,-2.1584578239999996,17.767644410000003,0.804897774,-5.203906033499999,-6.330683754000002,-18.717483129599998,16.372545832999997,-1.0419040873999987,-9.13155930263,-1.8693443879999991,3.0590988640000005,23.558206262,4.6208657135,-0.3419782390000008,-12.63972047,-2.1424533530000005,5.662928538,-4.6058337286,6.6715718289999995,-14.263761481000001,-11.103613201,-0.9769243049999994,-2.401988956,-16.606905601,2.878550289000001,-7.648160429000001,-10.178268024399998,22.5459123377,-3.227188319,-3.3561644945000007,11.423482458000002,5.835489846000002,23.275614747000002,16.272231726000005,11.805490186000002,23.9657357966,11.254504869,1.8869060441999994,-21.130876845300005,-2.907924443,-10.64444630483,-2.8848345315999997,-8.1818379546,32.630880142,-10.935098304299999,36.82916892,3.258756261999999,28.528666715,14.333250360000001,-7.912142664,23.900500694999998,17.5450785487,23.554142348099997,0.2443371069999999,14.490841286999999,0.8475005709999979
APOPTOSIS,-221.51034769400002,-71.79075927363,-48.18297881,-5.767811675440003,-28.871656830200003,-63.1196431966,56.197000928,63.799822025210005,27.45625117887001,103.06907608900002,-41.6931055185,46.7995056627,-12.600119669000001,-12.519778782299998,15.124707289499998,13.912952711000003,-89.25054490407001,4.249661258899994,-33.23399384186,68.87823387590001,-124.10944604159998,6.831814058600001,-50.1979737445,-37.4751828,-22.713156813559998,-42.5583018935,14.428944193799998,-55.976088645999994,51.4364628193,-86.90497363200001,96.665379098,-0.991118200999999,93.580916538,10.458473578000001,69.509538643,68.3426870412,-37.93761457974,35.48307700107999,0.8419481406000049,-4.004709196499998,60.639163538000005,-41.701210477400004,-18.541855979,68.68193517510001,21.51301728406,-47.9485966653,-45.3435436247,58.355215555,38.699303426,-15.237178173830003,-55.0349657947,158.614082952,-18.622321045700005,95.98297987560001,63.451317916,46.7576360873,17.111287645000004,22.7199977274,-14.575590313999998,-11.253662439840003,68.2889707623,12.096992924999995,45.72623145370001,52.0705103571
ARAMCHOL,0.09300302,-0.89132375,-0.70474166,0.6897745,0.80419654,-0.7783083000000001,-0.5490067,0.14850937,-1.3639609,0.21283776,-0.9918754,-0.15470181,0.67259866,-1.261253,1.2869937,-0.0032316933,-0.70971805,-0.24377054,0.04310715,0.70937914,-0.2451862,-0.41998857,-0.7417895,-1.4219089,-0.5496658,-1.0993981000000002,-0.16545859,0.2783967,-0.27317506,-0.38021618,0.0651719,0.40911418,-1.5665071000000002,-0.30225426,-0.78390336,-0.87845105,-0.27648044,-2.1495554,1.7498883,-0.22270586,0.66004676,0.65423954,-0.038096834,0.6449465,-0.16467306,0.7292795999999999,0.041480087,2.49339,-0.23087932,-0.47327048,0.34765092,0.111585215,-0.9990088,0.7188763000000001,0.42109928,0.3712774,-1.6183931,0.6864886,0.47091687,-0.33524087,-0.22965232,-0.6098180000000001,1.6836400000000002,0.94069064
BILE_ACID_METABOLISM,-18.42517974946,14.199510195000002,-90.833334969,25.7523877443,25.12316168,-54.389369353,-43.05608605809999,-30.153545453000003,-67.8182010706,68.80659528147001,34.924328812,-2.2918062880000014,-20.9598494074,-38.149905659400005,81.28850466509999,52.8099762424,-1.215547249870001,34.91286819060001,59.3595573353,-9.8716845702,-30.680925139000006,-16.967138856300004,-75.903344851,-61.90859719,-1.9294254698000006,-63.544050047999995,24.688297638199998,-24.0586122499,-6.079963715000001,46.764978261500005,41.058692279,-15.7036167298,-54.16256180639999,-56.698301369000006,-6.387868414999998,-11.366796153560001,-36.43535101557,-118.48816393800001,152.515583222,-66.885465092,6.3526426303,30.77342602,-9.8668053832,43.189032299000004,-29.495991648,12.8785329159,50.1242855493,111.34233721129999,-89.96156138629999,20.587903251300002,49.10239390138,30.7680483342,-44.221327122,94.63682884600001,61.071618758,15.4355133896,-91.79396397900001,31.133320784000006,21.5158884855,-39.272606262299995,2.8748352433999997,15.5078879767,66.516449349,70.7882133837
BMS-986036,0.03986387,-0.36052445,-0.40548438,-0.25827910000000004,0.12547326,-0.4531032999999999,0.41893488,0.6963679,0.059358753,0.43938467,0.35789725,0.37828213,0.30744162,0.3420018,0.6384986999999999,-0.17567,-0.7421509,-0.38578337,-0.4666582,1.0534996,-0.4637805999999999,-0.39361835,-0.63043606,-0.090950415,-0.13065167,-0.20216584,-0.018356103,-0.16984639999999998,0.20381728,0.13101222,-0.17530982,-0.34327602,-0.26165083,0.0058481707,0.59496623,-0.045224547,-0.06909843,0.048533197,0.06922068,0.36875457,0.18581167,-0.11712501,-0.47648937,0.7891989,0.21962070000000006,0.076122664,-0.54091555,0.20689555,-0.11086852,0.070203654,-0.637498,0.5437441,-0.15013948,0.8393876,-0.18405698,0.6709786,-0.2409073,0.26059657,0.75635874,0.24345724,0.259268,-0.5943335,-0.23532797,0.6501041999999999
