Gene,5,6,Fold change NASH (6)/chow (5)
S100g,0.002237652,0.259925001,116.159729
Lpl,0.010759538,0.920021687,85.50754649
Hbb-bs,0.002130634,0.108899504,51.11130338
Osbpl3,0.004494168,0.194769011,43.33816947
Cfd,0.016030672,0.548063145,34.18840718
Acot1,0.049780814,1.647031285,33.08566431
Sp5,0.0033871,0.108913119,32.15526966
Cyp4a10,0.710721847,19.45817621,27.37804713
Sult1e1,0.007149763,0.188493074,26.36354274
Cidec,0.03991273,0.862229404,21.60286707
Cyp4a14,0.427311242,9.011865951,21.08970012
Usp2,0.107014015,1.788789918,16.71547341
H2-Q1,0.01697002,0.259301873,15.27999844
Inmt,1.123550378,16.59181926,14.76731224
Anxa2,0.012625268,0.182088672,14.42255847
Cyp2a5,0.22711881,2.884339153,12.69969294
Tmem86a,0.089201966,0.8396622,9.413045901
Acaa1b,5.637145754,52.12350851,9.246436191
Wee1,0.061418582,0.516437863,8.408495382
1700080G11Rik,0.019143924,0.157535962,8.229031742
Slc1a2,0.609365053,4.676830172,7.674923517
Aldh3a2,0.992731975,7.430462476,7.484862643
Cd36,0.386789417,2.885500173,7.460132163
Clstn3,0.1063169,0.7553288,7.104503613
Nrep,0.307531358,2.124828473,6.909306706
Scd1,82.81186135,560.9326707,6.773578827
Acot3,0.070119227,0.454066575,6.475635767
Acot2,0.085481112,0.542862773,6.35067516
Ppp1r1b,0.039229068,0.245644891,6.261807933
Per3,0.11189018,0.655456858,5.858037407
Cyp7a1,0.640531912,3.709441491,5.791189203
Glul,4.543452451,26.23390663,5.774002679
Apoa4,10.6115252,60.75531043,5.725407919
Rdh9,0.022839433,0.127677669,5.590229331
Cyp4a12b,0.936457018,5.185944761,5.537835335
Upp2,2.190430798,12.12058975,5.533427377
Sulf2,0.205663826,1.136055312,5.523846053
Aatk,0.078277367,0.431151018,5.507990839
Gsta2,0.126318625,0.685955748,5.430361091
Stap1,0.06464558,0.343282684,5.310226731
Rcan2,0.031989629,0.168473422,5.266501247
Ly6d,0.102530745,0.539663706,5.263432973
Fabp4,0.03199585,0.166215365,5.194903897
Car1,0.07587269,0.388740717,5.123592119
AY036118,0.593038551,2.971633049,5.010859826
Cnmd,0.02376947,0.119015699,5.007082549
Fmo2,0.020468719,0.101819651,4.974402709
Dbp,0.680278016,3.344334246,4.916128649
Car3,19.40970662,91.73508205,4.726247741
Clec2h,0.133497209,0.627339602,4.699271293
Pcsk4,0.164456288,0.771228541,4.68956555
Hsd17b6,2.998315622,13.82217938,4.609981444
Tsc22d1,0.755126958,3.339546839,4.422497178
Ciart,0.081970276,0.36128593,4.407523648
Mup2,0.047169765,0.203917923,4.323064255
Spc25,0.123759157,0.534296533,4.317228297
Ces2c,0.359030325,1.54435584,4.301463506
Paqr7,0.543258104,2.333564578,4.29549888
Rdh16,0.516643915,2.206512764,4.270857932
Map2k6,0.035172419,0.149182378,4.241459176
Fitm1,0.766511425,3.22341183,4.205301742
