gene,module
CYTH1,ME 39
CYTH2,ME 17
CYTH4,ME 1
CYTIP,ME 39
D2HGDH,ME 6
DAB2,ME 28
DACH1,ME 19
DAD1,ME 3
DAG1,ME 15
DAGLB,ME 5
DAK,ME 2
DAP,ME 4
DAP3,ME 3
DAPK1,ME 5
DAPK2,ME 32
DAPP1,ME 5
DARS,ME 2
DARS2,ME 2
DAXX,ME 25
DAZAP1,ME 4
DBI,ME 31
DBN1,ME 29
DBNL,ME 15
DBNL,ME 47
DBP,ME 3
DBR1,ME 12
DBT,ME 25
DCAF11,ME 9
DCAF13,ME 34
DCAF5,ME 5
DCK,ME 4
DCP1A,ME 11
DCP1B,ME 1
DCP2,ME 3
DCPS,ME 6
DCTD,ME 31
DCTN1,ME 9
DCTN2,ME 9
DCTN4,ME 42
DCTN6,ME 2
DCTPP1,ME 4
DCUN1D1,ME 10
DCUN1D5,ME 11
DCXR,ME 1
DDA1,ME 6
DDAH1,ME 7
DDAH2,ME 19
DDB1,ME 18
DDB2,ME 1
DDHD2,ME 6
DDHD2,ME 3
DDI2,ME 3
DDOST,ME 37
DDRGK1,ME 3
DDX1,ME 22
DDX10,ME 34
DDX17,ME 4
DDX18,ME 3
DDX19A,ME 4
DDX19B,ME 2
DDX20,ME 11
DDX21,ME 4
DDX23,ME 4
DDX24,ME 25
DDX27,ME 14
DDX28,ME 1
DDX31,ME 1
DDX39A,ME 4
DDX39B,ME 1
DDX3X,ME 3
DDX41,ME 2
DDX42,ME 4
DDX47,ME 14
DDX49,ME 1
DDX5,ME 11
DDX50,ME 34
DDX51,ME 14
DDX52,ME 25
DDX54,ME 15
DDX54,ME 34
DDX55,ME 1
DDX56,ME 14
DDX58,ME 1
DDX6,ME 6
DDX60,ME 30
DECR1,ME 11
DECR2,ME 5
DEF6,ME 21
DEFA3,ME 19
DEFA4,ME 7
DEGS1,ME 9
DEK,ME 1
DENND1A,ME 13
DENND1C,ME 1
DENND2D,ME 17
DENND3,ME 7
DENND4A,ME 1
DENND4B,ME 10
DENND4C,ME 16
DENND5B,ME 15
DENND6A,ME 1
DENR,ME 16
DEPTOR,ME 3
DERA,ME 42
DERL1,ME 3
DERL3,ME 28
DFFA,ME 4
DFFB,ME 1
DFNA5,ME 5
DGCR14,ME 10
DGKB,ME 17
DGKQ,ME 2
DGKZ,ME 39
DGUOK,ME 2
DHCR24,ME 5
DHCR7,ME 6
DHDDS,ME 5
DHFR,ME 15
DHODH,ME 40
DHPS,ME 3
DHRS1,ME 2
DHRS11,ME 18
DHRS4,ME 2
DHRS7B,ME 46
DHRS9,ME 7
DHTKD1,ME 23
DHX15,ME 22
DHX16,ME 2
DHX29,ME 3
DHX30,ME 14
DHX36,ME 11
DHX37,ME 14
DHX38,ME 1
DHX40,ME 1
DHX8,ME 1
DHX9,ME 4
DIABLO,ME 1
DIAPH1,ME 10
DIAPH2,ME 13
DICER1,ME 5
DIDO1,ME 1
DIEXF,ME 6
DIMT1,ME 11
DIP2B,ME 23
DIS3,ME 4
DISC1,ME 12
DKC1,ME 25
DLAT,ME 14
DLD,ME 2
DLG1,ME 2
DLG3,ME 17
DLGAP4,ME 4
DLST,ME 14
DMAP1,ME 2
DMTN,ME 6
DMXL1,ME 23
DMXL2,ME 27
DNAJA1,ME 4
DNAJA2,ME 6
DNAJA3,ME 11
DNAJA3,ME 3
DNAJA4,ME 1
DNAJB1,ME 4
DNAJB11,ME 5
DNAJB12,ME 23
DNAJB14,ME 2
DNAJB4,ME 15
DNAJB6,ME 2
DNAJC1,ME 38
DNAJC10,ME 3
DNAJC11,ME 4
DNAJC13,ME 9
DNAJC17,ME 1
DNAJC2,ME 34
DNAJC21,ME 3
DNAJC3,ME 5
DNAJC5,ME 5
DNAJC7,ME 43
DNAJC8,ME 4
DNAJC9,ME 16
DNASE1L1,ME 7
DNASE2,ME 4
DNLZ,ME 6
DNM1L,ME 31
DNM1L,ME 5
DNM2,ME 9
DNM2,ME 22
DNMBP,ME 5
DNMT1,ME 3
DNPH1,ME 4
DNTTIP1,ME 12
DNTTIP2,ME 6
DOCK1,ME 28
DOCK10,ME 11
DOCK11,ME 12
DOCK2,ME 10
DOCK5,ME 7
DOCK8,ME 12
DOCK9,ME 21
DOK1,ME 13
DOK2,ME 39
DOK3,ME 7
DOLPP1,ME 3
DOPEY2,ME 5
DPEP2,ME 7
DPEP2,ME 32
DPF2,ME 18
DPF3,ME 15
DPH1,ME 3
DPH2,ME 6
DPM1,ME 4
DPP3,ME 31
DPP4,ME 17
DPP7,ME 21
DPP9,ME 12
DPPA4,ME 28
DPY30,ME 18
DPYD,ME 40
DPYSL2,ME 37
DPYSL3,ME 8
DR1,ME 2
DRAP1,ME 18
DRG1,ME 4
DRG2,ME 3
DROSHA,ME 9
DSC2,ME 7
DSCC1,ME 5
DSCR3,ME 9
DSN1,ME 2
DSTN,ME 4
DTNBP1,ME 10
DTX1,ME 7
DTX3L,ME 1
DTYMK,ME 13
DUS1L,ME 1
DUSP11,ME 1
DUSP12,ME 4
DUSP3,ME 41
DUSP6,ME 7
DUT,ME 14
DUT,ME 33
DYNC1H1,ME 9
DYNC1LI1,ME 42
DYNC1LI2,ME 18
DYNLL1,ME 1
DYNLL2,ME 1
DYNLRB1,ME 31
DYNLRB2,ME 31
DYNLT1,ME 5
DYNLT3,ME 4
DYSF,ME 20
DYSF,ME 7
EAF2,ME 7
EAPP,ME 2
EARS2,ME 11
EBF1,ME 15
EBNA1BP2,ME 25
EBP,ME 2
ECH1,ME 11
ECHDC1,ME 2
ECHDC2,ME 16
ECHS1,ME 11
ECI1,ME 1
ECI2,ME 1
ECSIT,ME 3
EDC3,ME 25
EDC4,ME 2
EDEM2,ME 5
EDEM3,ME 5
EDF1,ME 6
EDRF1,ME 5
EEA1,ME 13
EED,ME 2
EEF1A1,ME 4
EEF1B2,ME 43
EEF1D,ME 3
EEF1D,ME 4
EEF1G,ME 43
EEF2,ME 3
EEF2K,ME 9
EEFSEC,ME 2
EFEMP1,ME 8
EFHD2,ME 24
EFNB1,ME 5
EFTUD1,ME 10
EFTUD2,ME 11
EGLN1,ME 10
EHD1,ME 12
EHD3,ME 12
EHD4,ME 46
EHHADH,ME 5
EHMT1,ME 4
EHMT2,ME 6
EI24,ME 5
EIF1,ME 4
EIF1AX,ME 4
EIF2A,ME 43
EIF2AK2,ME 45
EIF2AK4,ME 37
EIF2B1,ME 18
EIF2B2,ME 2
EIF2B3,ME 3
EIF2B4,ME 4
EIF2B5,ME 3
EIF2D,ME 14
EIF2S1,ME 11
EIF2S2,ME 3
EIF2S3,ME 3
EIF3A,ME 3
EIF3B,ME 3
EIF3C,ME 11
EIF3CL,ME 11
EIF3D,ME 3
EIF3E,ME 40
EIF3F,ME 18
EIF3G,ME 14
EIF3H,ME 11
EIF3I,ME 3
EIF3J,ME 3
EIF3K,ME 20
EIF3K,ME 11
EIF3L,ME 11
EIF3M,ME 18
EIF4A1,ME 43
EIF4A2,ME 6
EIF4A3,ME 22
EIF4B,ME 44
EIF4E2,ME 2
EIF4E3,ME 30
EIF4EBP1,ME 23
EIF4EBP2,ME 1
EIF4EBP3,ME 22
EIF4ENIF1,ME 3
EIF4G1,ME 3
EIF4G1,ME 33
EIF4G2,ME 45
EIF4G3,ME 19
EIF4H,ME 3
EIF5A,ME 6
EIF5AL1,ME 6
EIF5B,ME 3
EIF6,ME 4
ELAC2,ME 14
ELANE,ME 7
ELAVL1,ME 4
ELF1,ME 2
ELF2,ME 2
ELL,ME 6
ELMO1,ME 10
ELMO2,ME 10
ELMSAN1,ME 1
ELOF1,ME 25
ELOVL1,ME 13
ELP2,ME 3
ELP3,ME 2
ELP4,ME 1
ELP5,ME 2
ELP6,ME 2
EMB,ME 1
EMC1,ME 43
EMC10,ME 18
EMC3,ME 45
EMC7,ME 37
EMC9,ME 28
EMD,ME 6
EME1,ME 7
EMG1,ME 14
EML2,ME 1
EML4,ME 34
ENAH,ME 6
ENDOG,ME 2
ENG,ME 5
ENGASE,ME 1
ENO1,ME 7
ENO1,ME 7
ENO2,ME 16
ENO3,ME 3
ENOPH1,ME 2
ENPP1,ME 3
ENPP2,ME 8
ENPP3,ME 35
ENPP4,ME 29
ENSA,ME 4
ENTPD1,ME 7
ENY2,ME 4
EOGT,ME 2
EOMES,ME 29
EP300,ME 5
EP400,ME 1
EPB41,ME 16
EPB41L2,ME 15
EPB41L3,ME 4
EPC1,ME 1
EPC2,ME 1
EPDR1,ME 5
EPHA1,ME 6
EPHX1,ME 5
EPHX2,ME 17
EPM2AIP1,ME 1
EPN1,ME 10
EPN2,ME 32
EPPK1,ME 1
EPRS,ME 3
EPS15,ME 18
EPS15L1,ME 9
EPS8L2,ME 1
EPX,ME 7
ERBB2IP,ME 12
ERCC2,ME 4
ERCC3,ME 1
ERCC4,ME 3
ERCC5,ME 22
ERGIC1,ME 4
ERGIC2,ME 2
ERGIC3,ME 5
ERH,ME 4
ERI1,ME 1
ERLEC1,ME 43
ERLIN1,ME 5
ERLIN2,ME 19
ERN1,ME 28
ERO1L,ME 9
ERP29,ME 5
ERP44,ME 5
ESD,ME 10
ESF1,ME 6
ESPL1,ME 19
ESYT1,ME 4
ESYT1,ME 1
ESYT2,ME 1
ETF1,ME 3
ETFA,ME 11
ETFB,ME 4
ETFDH,ME 9
ETHE1,ME 10
ETS1,ME 16
ETV6,ME 2
EVI2B,ME 7
EVI5,ME 2
EVL,ME 16
EWSR1,ME 1
EXOC1,ME 10
EXOC2,ME 10
EXOC3,ME 10
EXOC4,ME 10
EXOC6,ME 9
EXOC6B,ME 1
EXOC8,ME 10
EXOG,ME 40
EXOSC1,ME 3
EXOSC10,ME 4
EXOSC2,ME 2
EXOSC3,ME 2
EXOSC4,ME 2
EXOSC5,ME 4
EXOSC6,ME 6
EXOSC7,ME 4
EXOSC8,ME 4
EXOSC9,ME 4
EXT2,ME 3
EZH1,ME 1
EZH2,ME 8
EZR,ME 6
F10,ME 8
F11R,ME 2
F12,ME 8
F13A1,ME 5
F13B,ME 8
F2,ME 8
F5,ME 8
F7,ME 8
F9,ME 8
FAAH,ME 5
FABP1,ME 33
FABP4,ME 5
FABP5,ME 36
FADD,ME 10
FAF1,ME 4
FAF2,ME 11
FAH,ME 26
FAHD1,ME 12
FAHD2A,ME 4
FAIM,ME 7
FAM103A1,ME 4
FAM104A,ME 2
FAM110A,ME 35
FAM114A2,ME 2
FAM117B,ME 2
FAM120B,ME 34
FAM126A,ME 13
FAM126B,ME 1
FAM129A,ME 24
FAM129B,ME 1
FAM133A,ME 16
FAM175A,ME 21
FAM175B,ME 12
FAM208A,ME 1
FAM21C,ME 9
FAM3C,ME 3
FAM45A,ME 46
FAM49B,ME 10
FAM60A,ME 6
FAM63A,ME 7
FAM91A1,ME 42
FAM96B,ME 4
FAM98A,ME 14
FAM98B,ME 1
FANCD2,ME 7
FANCI,ME 5
FAR1,ME 2
FAR2,ME 7
FARS2,ME 3
FARSA,ME 14
FARSB,ME 3
FAS,ME 6
FASN,ME 43
FASTKD2,ME 2
FAU,ME 25
FBL,ME 6
FBLL1,ME 6
FBLN1,ME 8
FBLN1,ME 8
FBN3,ME 2
FBP1,ME 41
FBP2,ME 5
FBXL18,ME 39
FBXL20,ME 1
FBXL8,ME 39
FBXO2,ME 16
FBXO3,ME 6
FBXO4,ME 2
FBXO44,ME 6
FBXO7,ME 2
FBXW11,ME 2
FCAR,ME 20
FCER1A,ME 35
FCER1G,ME 5
FCER2,ME 15
FCF1,ME 6
FCGR1A,ME 5
FCGR1B,ME 5
FCGR2A,ME 7
FCGR2B,ME 23
FCGR2B,ME 19
FCGR3A,ME 24
FCGR3B,ME 5
FCGRT,ME 27
FCHO1,ME 1
FCHO2,ME 2
FCHSD1,ME 21
FCHSD2,ME 23
FCN1,ME 7
FCN2,ME 8
FCN3,ME 8
FCRLA,ME 15
FDFT1,ME 2
FDPS,ME 41
FDX1,ME 3
FDX1L,ME 3
FDXR,ME 3
FECH,ME 5
FECH,ME 1
FEN1,ME 18
FER,ME 13
FERMT3,ME 9
FES,ME 5
FETUB,ME 8
FEZ2,ME 28
FGA,ME 8
FGB,ME 8
FGD2,ME 23
FGD3,ME 10
FGD4,ME 5
FGFBP2,ME 6
FGFR1OP2,ME 1
FGG,ME 8
FGL2,ME 7
FGR,ME 5
FH,ME 3
FHIT,ME 19
FHL1,ME 6
FHOD1,ME 18
FIBP,ME 12
FIP1L1,ME 4
FIS1,ME 11
FKBP15,ME 5
FKBP1A,ME 47
FKBP2,ME 36
FKBP3,ME 3
FKBP4,ME 4
FKBP5,ME 10
FKBP7,ME 5
FKBP8,ME 2
FLAD1,ME 11
FLI1,ME 12
FLII,ME 10
FLII,ME 1
FLNA,ME 1
FLNB,ME 2
FLNB,ME 4
FLOT1,ME 9
FLOT2,ME 9
FMNL1,ME 26
FMNL2,ME 5
FMO4,ME 2
FMOD,ME 33
FMR1,ME 1
FN1,ME 8
FNBP1,ME 12
FNBP1L,ME 35
FNBP4,ME 2
FNTA,ME 31
FNTB,ME 10
FOS,ME 5
FOSL2,ME 5
FOXH1,ME 6
FOXK1,ME 4
FOXO1,ME 16
FOXO3,ME 35
FOXP1,ME 3
FOXP1,ME 6
FOXP3,ME 8
FOXRED1,ME 3
FPGS,ME 2
FPGT,ME 9
FPR1,ME 13
FPR2,ME 5
FRG1,ME 4
FRMD8,ME 2
FSCN1,ME 36
FTH1,ME 24
FTL,ME 7
FTO,ME 3
FTSJ1,ME 6
FTSJ3,ME 6
FUBP1,ME 22
FUBP3,ME 14
FUCA1,ME 1
FUCA2,ME 13
FUK,ME 1
FUNDC1,ME 1
FUS,ME 4
FUT7,ME 3
FXN,ME 30
FXR1,ME 2
FXR2,ME 2
FYB,ME 39
FYCO1,ME 1
FYN,ME 30
FYTTD1,ME 1
FZD1,ME 7
G3BP1,ME 4
G3BP2,ME 4
G6PC3,ME 13
G6PD,ME 13
G6PD,ME 32
GAA,ME 13
GAB2,ME 5
GABARAPL1,ME 4
GABARAPL2,ME 23
GABPA,ME 16
GADD45GIP1,ME 14
GAK,ME 10
GALC,ME 26
GALE,ME 9
GALK1,ME 36
GALM,ME 21
GALNS,ME 26
GALNT1,ME 13
GALNT2,ME 37
GALNT3,ME 5
GALNT4,ME 5
GALNT7,ME 27
GALT,ME 12
GAMT,ME 2
GANAB,ME 8
GANAB,ME 46
GAPDH,ME 2
GAPDH,ME 13
GAPVD1,ME 9
GAR1,ME 16
GARS,ME 3
GART,ME 4
GATA1,ME 32
GATA2,ME 35
GATA3,ME 17
GATAD1,ME 1
GATAD2A,ME 1
GATAD2B,ME 4
GATC,ME 4
GATM,ME 15
GBA,ME 13
GBAS,ME 12
GBE1,ME 7
GBF1,ME 3
GBP1,ME 30
GBP2,ME 30
GBP4,ME 11
GBP5,ME 30
GC,ME 8
GCA,ME 5
GCC2,ME 22
GCDH,ME 2
GCH1,ME 5
GCHFR,ME 39
GCLC,ME 31
GCLM,ME 16
GCN1L1,ME 3
GCSH,ME 2
GDAP1,ME 2
GDE1,ME 13
GDI1,ME 1
GDI2,ME 47
GDPD1,ME 22
GEMIN2,ME 2
GEMIN4,ME 2
GEMIN5,ME 14
GFER,ME 3
GFM1,ME 2
GFM1,ME 3
GFM2,ME 40
GFOD1,ME 7
GFPT1,ME 3
GGA2,ME 3
GGACT,ME 1
GGCT,ME 7
GGCX,ME 5
GGH,ME 24
GGPS1,ME 1
GGT7,ME 2
GHDC,ME 2
GHITM,ME 11
GID4,ME 2
GID8,ME 2
GIGYF2,ME 3
GIMAP4,ME 30
GIMAP4,ME 30
GIMAP5,ME 30
GIMAP6,ME 3
GIMAP7,ME 30
GIMAP8,ME 30
GINS3,ME 5
GINS4,ME 5
GIPC1,ME 6
GIPC2,ME 3
GIT1,ME 2
GIT2,ME 3
GIT2,ME 10
GIT2,ME 9
GK,ME 1
GLA,ME 9
GLB1,ME 26
GLE1,ME 4
GLG1,ME 3
GLIPR1,ME 9
GLMN,ME 2
GLO1,ME 4
GLOD4,ME 1
GLRX,ME 13
GLRX3,ME 3
GLS,ME 6
GLS,ME 3
GLTP,ME 9
GLTSCR2,ME 4
GLUD1,ME 11
GLUD2,ME 11
GLYR1,ME 1
GM2A,ME 5
GMDS,ME 31
GMEB2,ME 1
GMFB,ME 18
GMFG,ME 9
GMIP,ME 9
GML,ME 31
GMPPA,ME 36
GMPPB,ME 38
GMPR2,ME 12
GMPS,ME 2
GNA11,ME 5
GNA12,ME 23
GNA13,ME 12
GNA15,ME 5
GNAI1,ME 13
GNAI2,ME 9
GNAI3,ME 21
GNAO1,ME 17
GNAQ,ME 5
GNAQ,ME 9
GNAS,ME 10
GNAT2,ME 8
GNB1,ME 9
GNB2,ME 7
GNB2,ME 9
GNB2L1,ME 20
GNB2L1,ME 3
GNB4,ME 19
GNE,ME 3
GNG10,ME 5
GNG2,ME 21
GNG5,ME 15
GNG7,ME 15
GNGT2,ME 11
GNL1,ME 1
GNL2,ME 3
GNL3,ME 14
GNL3L,ME 11
GNLY,ME 29
GNPAT,ME 10
GNPDA1,ME 30
GNPDA2,ME 16
GNPNAT1,ME 2
GNPTAB,ME 5
GNPTG,ME 8
GNS,ME 24
GOLGA2,ME 38
GOLGA3,ME 3
GOLGA4,ME 1
GOLGA7,ME 9
GOLGB1,ME 3
GOLIM4,ME 5
GOLM1,ME 33
GOLPH3,ME 18
GON4L,ME 6
GOPC,ME 3
GORASP1,ME 5
GORASP2,ME 3
GOSR2,ME 4
GOT1,ME 4
GOT2,ME 1
GP1BA,ME 5
GP1BB,ME 5
GP5,ME 8
GP9,ME 5
GPA33,ME 2
GPAA1,ME 1
GPCPD1,ME 13
GPD1L,ME 2
GPD2,ME 10
GPHN,ME 4
GPI,ME 32
GPKOW,ME 4
GPLD1,ME 8
GPM6A,ME 15
GPN1,ME 1
GPN3,ME 1
GPR180,ME 1
GPR183,ME 6
GPR84,ME 7
GPR89A,ME 10
GPR97,ME 32
GPSM3,ME 12
GPX1,ME 41
GPX3,ME 8
GPX4,ME 10
GRAP,ME 16
GRAP2,ME 17
GRB10,ME 15
GRB2,ME 47
GRHPR,ME 12
GRIPAP1,ME 9
GRK6,ME 12
GRN,ME 24
GRPEL1,ME 2
GRSF1,ME 14
GRWD1,ME 14
GSDMD,ME 10
GSK3A,ME 2
GSK3B,ME 3
GSN,ME 8
GSN,ME 19
GSN,ME 32
GSPT1,ME 3
GSPT2,ME 3
GSR,ME 7
GSR,ME 1
GSS,ME 26
GSTK1,ME 30
GSTM2,ME 2
GSTO1,ME 47
GSTP1,ME 5
GSTZ1,ME 2
GTF2A1,ME 1
GTF2B,ME 1
GTF2E1,ME 4
GTF2F1,ME 4
GTF2F2,ME 4
GTF2H1,ME 1
GTF2H2C,ME 2
GTF2H3,ME 1
GTF2I,ME 4
GTF3C1,ME 2
GTF3C2,ME 1
GTF3C3,ME 3
GTF3C4,ME 2
GTF3C5,ME 9
GTF3C6,ME 8
GTPBP1,ME 1
GTPBP10,ME 14
GTPBP2,ME 1
GTPBP3,ME 22
GTPBP4,ME 14
GTPBP6,ME 34
GTPBP8,ME 17
GUF1,ME 2
GUK1,ME 2
GUK1,ME 4
GUSB,ME 24
GXYLT1,ME 41
GYG1,ME 24
GYPC,ME 6
GYS1,ME 10
GZMA,ME 29
GZMB,ME 29
GZMH,ME 29
GZMK,ME 29
GZMM,ME 29
H1F0,ME 2
H1FX,ME 16
H2AFJ,ME 6
H2AFV,ME 1
H2AFX,ME 6
H2AFY,ME 22
H2AFY,ME 34
H2AFY2,ME 9
H2AFZ,ME 1
H2BFS,ME 8
H3F3A,ME 6
H3F3B,ME 6
H3F3C,ME 6
H6PD,ME 9
HAAO,ME 19
HABP2,ME 8
HABP4,ME 1
HADH,ME 4
HADHA,ME 40
HADHB,ME 45
HAGH,ME 1
HARS,ME 14
HARS2,ME 2
HAT1,ME 4
HAUS4,ME 9
HAUS5,ME 1
HAVCR2,ME 5
HBA1,ME 4
HBB,ME 4
HCCS,ME 3
HCFC1,ME 4
HCFC1,ME 4
HCFC2,ME 3
HCK,ME 5
HCLS1,ME 9
HDAC1,ME 1
HDAC10,ME 9
HDAC2,ME 18
HDAC3,ME 2
HDAC4,ME 9
HDAC6,ME 12
HDAC9,ME 23
HDC,ME 7
HDDC3,ME 16
HDGF,ME 21
HDGFRP2,ME 1
HDHD1,ME 3
HDLBP,ME 43
HEATR1,ME 14
HEATR2,ME 3
HEATR3,ME 45
HEATR5B,ME 1
HEATR6,ME 1
HEBP1,ME 13
HEBP2,ME 12
HECA,ME 1
HECTD1,ME 2
HECTD3,ME 10
HELZ2,ME 7
HERC4,ME 12
HERC5,ME 3
HEXA,ME 26
HEXB,ME 26
HEXIM1,ME 2
HFE,ME 5
HGFAC,ME 8
HGH1,ME 2
HGS,ME 42
HGSNAT,ME 5
HHEX,ME 15
HIBADH,ME 2
HIBCH,ME 3
HIC1,ME 7
HIF1AN,ME 2
HIGD1A,ME 4
HINT1,ME 4
HIP1,ME 5
HIP1R,ME 6
HIRA,ME 3
HIST1H1A,ME 8
HIST1H1B,ME 4
HIST1H1C,ME 6
HIST1H1D,ME 6
HIST1H1E,ME 16
HIST1H2BC,ME 6
HIST1H2BH,ME 15
HIST1H2BK,ME 8
HIST1H2BM,ME 15
HIST1H3A,ME 16
HIST1H4A,ME 6
HIST1H4F,ME 1
HIST2H2AA3,ME 6
HIST2H2AC,ME 6
HIST2H2BE,ME 6
HIST2H2BF,ME 15
HIST2H3A,ME 6
HIST2H3PS2,ME 12
HIVEP2,ME 1
HK1,ME 30
HK2,ME 7
HK3,ME 7
HLA-A,ME 6
HLA-B,ME 2
HLA-B,ME 6
HLA-DMA,ME 23
HLA-DMB,ME 23
HLA-DOA,ME 15
HLA-DOB,ME 15
HLA-DPA1,ME 23
HLA-DPB1,ME 23
HLA-DQA1,ME 23
HLA-DQA1,ME 5
HLA-DQB1,ME 23
HLA-DQB1,ME 23
HLA-DRA,ME 23
HLA-DRB1,ME 23
HLA-DRB1,ME 23
HLA-DRB1,ME 23
HLA-DRB1,ME 23
HLA-E,ME 21
HLA-F,ME 2
HLTF,ME 9
HM13,ME 37
HM13,ME 5
HMBS,ME 4
HMCES,ME 6
HMG20A,ME 4
HMGA1,ME 16
HMGA1,ME 4
HMGB1,ME 1
HMGB2,ME 32
HMGB3,ME 7
HMGCL,ME 42
HMGN1,ME 44
HMGN2,ME 15
HMGN3,ME 15
HMGN5,ME 4
HMGXB4,ME 3
HMHA1,ME 12
HMOX1,ME 27
HMOX2,ME 17
HN1,ME 24
HN1L,ME 4
HNMT,ME 27
HNRNPA0,ME 4
HNRNPA1,ME 44
HNRNPA2B1,ME 4
HNRNPA3,ME 6
HNRNPAB,ME 18
HNRNPC,ME 4
HNRNPC,ME 6
HNRNPD,ME 4
HNRNPDL,ME 4
HNRNPDL,ME 2
HNRNPF,ME 6
HNRNPH1,ME 3
HNRNPH2,ME 1
HNRNPH3,ME 1
HNRNPK,ME 4
HNRNPL,ME 4
HNRNPLL,ME 2
HNRNPM,ME 11
HNRNPM,ME 22
HNRNPR,ME 4
HNRNPU,ME 6
HNRNPUL1,ME 12
HNRNPUL2,ME 4
HOMER2,ME 5
HOMER3,ME 7
HOOK1,ME 6
HOOK3,ME 10
HOPX,ME 29
HP,ME 8
HP1BP3,ME 16
HPCA,ME 12
HPGD,ME 35
HPGDS,ME 35
HPR,ME 8
HPRT1,ME 13
HPS3,ME 2
HPS4,ME 5
HPS5,ME 42
HPS6,ME 4
HPSE,ME 2
HPX,ME 8
HRG,ME 8
HRSP12,ME 2
HS1BP3,ME 9
HS2ST1,ME 9
HSBP1,ME 9
HSD17B10,ME 11
HSD17B12,ME 2
HSD17B4,ME 7
HSD17B7,ME 3
HSD17B8,ME 4
HSH2D,ME 32
HSP90AA1,ME 4
HSP90AB1,ME 43
HSP90B1,ME 38
HSPA13,ME 3
HSPA14,ME 2
HSPA1A,ME 9
HSPA4,ME 23
HSPA4L,ME 7
HSPA5,ME 38
HSPA8,ME 7
HSPA8,ME 4
HSPA9,ME 3
HSPB1,ME 3
HSPB11,ME 31
HSPBAP1,ME 1
HSPBP1,ME 14
HSPD1,ME 3
HSPE1,ME 6
HSPH1,ME 3
HTATIP2,ME 9
HTATSF1,ME 1
HTRA1,ME 33
HTT,ME 42
HUS1,ME 1
HUWE1,ME 18
HVCN1,ME 19
HYAL3,ME 35
HYI,ME 9
HYOU1,ME 38
HYPK,ME 3
IARS,ME 3
IARS2,ME 11
IBA57,ME 14
ICAM1,ME 5
ICAM2,ME 3
ICAM3,ME 26
ICE2,ME 1
ICMT,ME 9
ICOS,ME 1
ICT1,ME 3
IDE,ME 43
IDH1,ME 5
IDH2,ME 46
IDH3A,ME 3
IDH3B,ME 4
IDH3G,ME 4
IDI1,ME 4
IDNK,ME 2
IDO1,ME 7
IDS,ME 1
IDUA,ME 26
IER2,ME 23
IER3IP1,ME 1
IFI16,ME 14
IFI27,ME 20
IFI30,ME 5
IFI35,ME 47
IFIH1,ME 3
IFIT1,ME 2
IFIT2,ME 7
IFIT3,ME 5
IFIT5,ME 4
IFITM2,ME 1
IFITM3,ME 1
IFNGR1,ME 5
IFRD2,ME 34
IFT27,ME 31
IGF1,ME 33
IGF2,ME 33
IGF2BP2,ME 41
IGF2BP3,ME 5
IGF2R,ME 40
IGFALS,ME 8
IGFBP2,ME 33
IGFBP3,ME 33
IGFBP4,ME 33
IGFBP5,ME 33
IGFBP6,ME 17
IGFBP7,ME 7
IGJ,ME 8
IGLL5,ME 8
IGSF6,ME 7
IGSF8,ME 22
IK,ME 4
IKBIP,ME 5
IKBKAP,ME 2
IKBKB,ME 10
IKBKE,ME 1
IKBKG,ME 10
IKZF1,ME 4
IKZF1,ME 2
IKZF3,ME 6
IL16,ME 16
IL17RA,ME 7
IL18,ME 5
IL18R1,ME 1
IL1RAP,ME 7
IL1RL1,ME 6
IL1RN,ME 7
IL2RA,ME 8
IL2RB,ME 29
IL32,ME 7
IL3RA,ME 28
IL4I1,ME 2
IL7R,ME 17
ILF2,ME 4
ILF3,ME 16
ILF3,ME 4
ILK,ME 7
ILKAP,ME 4
ILVBL,ME 18
IMMT,ME 2
IMMT,ME 11
IMP3,ME 14
IMP4,ME 34
IMPA1,ME 1
IMPA2,ME 7
IMPAD1,ME 37
IMPDH1,ME 13
IMPDH2,ME 4
INF2,ME 3
ING4,ME 1
ING5,ME 16
INHBC,ME 8
INIP,ME 4
INO80,ME 1
INO80C,ME 2
INPP1,ME 9
INPP4A,ME 39
INPP4B,ME 17
INPP5B,ME 4
INPP5D,ME 21
INPP5K,ME 4
INPPL1,ME 10
INS,ME 2
INS-IGF2,ME 2
INTS1,ME 12
INTS10,ME 12
INTS2,ME 2
INTS3,ME 12
INTS4,ME 2
INTS5,ME 3
INTS6,ME 1
INTS7,ME 3
INTS8,ME 1
IP6K1,ME 9
IPCEF1,ME 21
IPO11,ME 1
IPO4,ME 3
IPO5,ME 3
IPO7,ME 3
IPO8,ME 10
IPO9,ME 31
IQGAP1,ME 26
IQGAP2,ME 12
IQSEC1,ME 1
IRAK3,ME 5
IRAK4,ME 10
IRF2,ME 2
IRF2BP1,ME 12
IRF2BP2,ME 42
IRF2BPL,ME 3
IRF4,ME 15
IRF5,ME 5
IRF5,ME 23
IRF7,ME 28
IRF8,ME 15
IRF9,ME 12
IRS2,ME 7
ISCA1,ME 22
ISCA2,ME 3
ISCU,ME 4
ISG15,ME 4
ISG20,ME 25
ISG20L2,ME 1
ISPD,ME 35
IST1,ME 10
ISY1,ME 2
ISYNA1,ME 16
ITCH,ME 13
ITFG2,ME 2
ITGA2B,ME 5
ITGA4,ME 4
ITGA5,ME 2
ITGA6,ME 17
ITGAL,ME 12
