gene,module
APOB,ME 8
APOBEC3A,ME 27
APOBEC3A,ME 27
APOBEC3B,ME 3
APOBEC3C,ME 4
APOBEC3D,ME 6
APOBEC3F,ME 3
APOBEC3G,ME 3
APOBEC3H,ME 20
APOBR,ME 24
APOC1,ME 8
APOC2,ME 8
APOC3,ME 8
APOC4,ME 8
APOD,ME 8
APOE,ME 8
APOF,ME 8
APOH,ME 8
APOL1,ME 8
APOM,ME 8
APOO,ME 11
APOOL,ME 4
APP,ME 28
APPL1,ME 47
APPL2,ME 19
APRT,ME 1
APTX,ME 4
AQP9,ME 20
AQR,ME 1
ARAF,ME 10
ARAP1,ME 13
ARAP2,ME 11
ARAP3,ME 7
ARCN1,ME 31
ARF1,ME 9
ARF4,ME 5
ARF6,ME 10
ARFGAP1,ME 4
ARFGAP2,ME 18
ARFGAP3,ME 3
ARFGEF1,ME 10
ARFGEF2,ME 2
ARFIP1,ME 13
ARFRP1,ME 2
ARG1,ME 20
ARGLU1,ME 15
ARHGAP1,ME 13
ARHGAP10,ME 2
ARHGAP11A,ME 38
ARHGAP15,ME 16
ARHGAP17,ME 23
ARHGAP17,ME 42
ARHGAP17,ME 5
ARHGAP18,ME 13
ARHGAP24,ME 15
ARHGAP25,ME 2
ARHGAP25,ME 1
ARHGAP25,ME 1
ARHGAP26,ME 41
ARHGAP27,ME 3
ARHGAP27,ME 42
ARHGAP30,ME 10
ARHGAP31,ME 2
ARHGAP35,ME 18
ARHGAP4,ME 10
ARHGAP5,ME 14
ARHGAP5,ME 19
ARHGAP6,ME 1
ARHGAP9,ME 10
ARHGDIA,ME 11
ARHGDIB,ME 20
ARHGDIB,ME 7
ARHGEF1,ME 12
ARHGEF10L,ME 5
ARHGEF11,ME 1
ARHGEF18,ME 12
ARHGEF2,ME 13
ARHGEF40,ME 5
ARHGEF5,ME 1
ARHGEF6,ME 10
ARHGEF6,ME 5
ARHGEF7,ME 2
ARID1A,ME 12
ARID1B,ME 6
ARID2,ME 2
