,precision,recall,f1-score,support
0,0.7971698113207547,0.845,0.8203883495145631,200.0
1,0.7075471698113207,0.635593220338983,0.6696428571428572,118.0
accuracy,0.7672955974842768,0.7672955974842768,0.7672955974842768,0.7672955974842768
macro avg,0.7523584905660377,0.7402966101694914,0.7450156033287101,318.0
weighted avg,0.7639136110122227,0.7672955974842768,0.7644513429112256,318.0
