,scores,logfc
SULF2,0.3088351381987462,1.136055312
THRSP,0.308112652172846,9.061258569
NAMPT,0.3020802435740748,4.196614506
FAM20B,0.2999417277806901,0.606538748
ASRGL1,0.2982612505639981,0.504593787
ACYP2,0.2977956993579077,0.140672583
CCND1,0.2933749156703588,1.537831013
CPOX,0.2928416495254836,10.4770722
TCF7L1,0.2845531299182801,0.493923692
IDH3A,0.2841986068652364,1.506614185
PLEKHA8,0.2782664539942767,1.085651469
FAM3C,0.2773240858107998,1.777005693
FZD4,0.2743443938004181,1.101264222
DHFR,0.2712638735248,2.303500209
NPR2,0.2680302455417844,0.594679547
FMO2,0.2675700845537692,0.101819651
ABCG8,0.2675171249698073,2.741010475
RMDN3,0.2662403591640677,2.349660927
ALDH4A1,0.2655632828371823,12.94798714
IMMT,0.2641020666710315,4.834378749
SH3BP5,0.2610629172526972,2.311903062
PTDSS2,0.259222064910017,0.516229564
SCARF1,0.2583631027771548,0.156755462
LPCAT3,0.2577369429960404,3.367768016
AHNAK,0.2526098762499623,0.643690718
P2RY1,0.2525850720533236,0.483943933
TBC1D16,0.2506453136429226,0.678084026
SUCNR1,0.2474631689689674,1.440381216
AGL,0.2406773341397795,1.42961128
ETNK2,0.2387054516779606,10.60195903
ABCG5,0.2385076752193973,2.519448842
NGEF,0.2374890885311674,0.567419214
FAHD1,0.2372947000839159,3.957204856
GALK1,0.2370231443327181,1.971863592
LHPP,0.2367985102187016,0.994614443
SULT1C2,0.2366599445484436,0.126646207
SLC19A1,0.2362605197426778,0.309317239
KLF1,0.2350025246741198,0.108278402
CIPC,0.2341413989765156,1.221292908
UGP2,0.2312863257680587,16.53022352
MYLK,0.2311450658554715,2.241436247
EML4,0.2289731253692076,0.65478069
ABCG2,0.2243237239941641,4.347054397
SUGCT,0.2238888267996592,1.761397304
UAP1L1,0.2236205080893624,0.174076241
COASY,0.2235912265828593,4.25318541
STMN1,0.222290528414029,0.484076723
PGM3,0.2213296798081241,1.567969342
NECAP2,0.21863650236208,0.177938356
GYS2,0.2175806456310466,7.681505697
NRP1,0.2144667681536721,2.473601814
OCRL,0.2138985884377021,0.244223859
ASPA,0.2138860096170017,0.782137902
FDX1,0.2115405275499159,10.81922271
GNA12,0.2104089384281204,4.345610049
AXIN2,0.209950014425486,0.176420428
ADCY6,0.2093839026169499,0.276772478
PPP1R1B,0.2093748269659704,0.245644891
FGF1,0.2092050768425105,3.251478617
RCAN2,0.2075596808340593,0.168473422
PLEKHA7,0.2054097563771253,0.318294973
SEC22C,0.2030349265819944,0.657787463
CHP1,0.2002494321962016,15.08112342
MFN2,0.1988131165917648,3.186737772
IGFBP2,0.1966249692143899,15.65874073
BMP2K,0.1952634744255059,0.491567452
COL27A1,0.1934258264252606,1.090547672
LGR5,0.1933924248182182,0.291710905
VNN1,0.1924049996625933,2.445318268
NDUFA10,0.1905117109706973,8.598146061
TAGLN2,0.1905061625125583,0.336215248
PSMD9,0.1895666132300179,2.271859024
LMNB2,0.1870216998811261,0.271713816
GDE1,0.1850417789382403,3.200097928
RGS16,0.1841256547967935,0.654232846
NADK,0.1830580505185785,6.424955081
UPP2,0.1829973692125378,12.12058975
DBP,0.1803101238096125,3.344334246
MT-ND3,0.1788586857907105,343.0337876
PPM1K,0.1787113476819215,4.734703537
MAT2A,0.1779567259975045,5.265921903
ING5,0.1776955926965379,0.340118778
PCTP,0.1768815904406948,3.789393516
TSC22D1,0.1763341286437205,3.339546839
REEP6,0.174749286443357,35.3213134
TPM2,0.174112673763635,0.238007352
CDKN2C,0.1729042455094592,0.268002824
FZD8,0.1719145888238114,0.544076422
ENPP2,0.1712901562505302,4.963713354
CISD1,0.1704676085694172,13.89148165
GPD1L,0.1697694968693343,0.892972913
IMPA2,0.1650257642922211,0.23765346
RHOQ,0.1628890435113666,0.543764381
RNF43,0.1620479463865368,0.356115686
PRNP,0.1582060899927913,1.53364633
TBC1D13,0.1568234842527355,0.78747187
HDAC11,0.1556390686057605,1.342477834
AFG3L2,0.1549169213865908,2.361200821
LYST,0.1519983788434164,1.140918217
FAM117B,0.1505871057089045,0.296567219
ACO2,0.149238117094424,7.077822148
EDRF1,0.1488305350929371,0.540072137
ADI1,0.1488147451022713,6.38627706
AHCY,0.1482741096359748,6.843829571
PDE4A,0.1475923065504594,0.220848285
MACROD1,0.1475033619205047,1.913351239
TGFBRAP1,0.1461708586500564,1.204298186
RAB30,0.1460430090517759,0.863070138
NDUFS1,0.1460213128888435,4.080512111
CTSF,0.1458710015521628,0.861008583
WIPF3,0.1453440836980287,0.363571383
NDUFAF4,0.1445165201128269,3.53287648
CORO7,0.1443199782888919,0.307200984
GABARAPL1,0.1437556850635544,11.08891829
RHOBTB2,0.1434526390564,0.350428023
ST3GAL5,0.1433594980648543,11.37874947
AMOTL2,0.1403493496465484,0.943795143
PRMT7,0.1396667281837446,0.414955424
MTRR,0.1395905799326279,0.20611173
RGN,0.13901255925288,37.85495785
ENPP1,0.137847421178401,0.674353602
GREM2,0.1376241328974089,0.822233696
L2HGDH,0.1375571634484491,2.713251463
RAB34,0.1372584180620602,0.212865152
PBX1,0.1358661366977051,1.31299142
RHBG,0.1354720537097379,0.432301403
SLC17A8,0.1331060860348545,0.676032795
CHRNA2,0.1322882664711458,0.206787895
ALPL,0.1318751531832528,0.750546184
PPCDC,0.1316268927046686,0.415962968
EXTL1,0.1315053476339503,0.276227148
HDAC1,0.1305293874755136,0.684184137
STX2,0.1274715617934494,0.360583089
LMNB1,0.1224189642519433,0.184153794
ADSSL1,0.1218066451281184,0.782294158
PLLP,0.121364687469546,0.743557434
COA6,0.1211509395775408,2.686552409
PHF1,0.1209736061691118,0.38834027
NMRK1,0.1202865125917118,1.745877048
WNT5B,0.1200695046190594,0.357880917
PGM2,0.1183952764309053,9.231990678
TPPP,0.1171943390870134,0.384959106
MIA2,0.1133959513467064,10.82130307
BCAR3,0.1126871359725925,1.646985079
BHLHE41,0.1114272372049064,0.355502372
SDHAF1,0.1091594986286579,1.605376028
MGMT,0.1088632144763337,0.67099362
HLF,0.1087501894417804,3.845211081
PDZRN3,0.1084416502963159,0.261351005
TTC7B,0.1082665655556655,0.570764382
DUSP28,0.1068307415506251,0.493950173
SRFBP1,0.1064774765851274,0.131378513
LY6D,0.1054100776637567,0.539663706
SLC37A4,0.1053019254056879,5.8204037
NFIC,0.1049149912723315,6.537577937
