,precision,recall,f1-score,support
0,0.9536039768019884,0.8097080548716145,0.875784668061632,2843.0
1,0.26594301221166894,0.6363636363636364,0.3751196172248804,308.0
accuracy,0.7927642018406855,0.7927642018406855,0.7927642018406855,0.7927642018406855
macro avg,0.6097734945068287,0.7230358456176254,0.6254521426432562,3151.0
weighted avg,0.8863873544301006,0.7927642018406855,0.8268462879734951,3151.0
