,precision,recall,f1-score,support
0,0.9373377827215424,0.8892015476609215,0.9126353790613718,2843.0
1,0.30616740088105726,0.4512987012987013,0.3648293963254593,308.0
accuracy,0.8463979688987623,0.8463979688987623,0.8463979688987623,0.8463979688987623
macro avg,0.6217525918012998,0.6702501244798114,0.6387323876934156,3151.0
weighted avg,0.8756429310532247,0.8463979688987623,0.8590891262265063,3151.0
