,precision,recall,f1-score,support
0,0.9991732120711038,0.8501582835033415,0.9186621056632459,2843.0
1,0.02517162471395881,0.8461538461538461,0.048888888888888885,13.0
accuracy,0.8501400560224089,0.8501400560224089,0.8501400560224089,0.8501400560224089
macro avg,0.5121724183925312,0.8481560648285938,0.4837754972760674,2856.0
weighted avg,0.9947397314563828,0.8501400560224089,0.9147030539062198,2856.0
