,precision,recall,f1-score,support
0,0.9986363636363637,0.772775237425255,0.8713067618481063,2843.0
1,0.01524390243902439,0.7692307692307693,0.029895366218236175,13.0
accuracy,0.7727591036414566,0.7727591036414566,0.7727591036414566,0.7727591036414566
macro avg,0.506940133037694,0.7710030033280122,0.45060106403317124,2856.0
weighted avg,0.9941601374474401,0.7727591036414566,0.8674768080164578,2856.0
