,0.0,1.5,2.0,2.5,3.0
roc,0.8338559322033899,0.8372018348623854,0.8777848101265822,0.8978181818181818,0.8585416666666665
ap,0.7391906801617633,0.733835687346097,0.7307153526632807,0.6935281055374941,0.46893382223056906
