,-1.0,0.01,0.02,0.03,0.04
roc,0.8157467532467533,0.8148701298701297,0.8447222222222223,0.8005882352941177,0.7870833333333334
ap,0.8727332768231677,0.7015287292811045,0.6114135058106654,0.49574563659453846,0.4355767746874778
