,0,1,2,3,4,5,6,7,8,9,10,11
label,befree,sven,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
roc,0.727775974025974,0.738728813559322,0.9079885877318117,0.8335031587528021,0.7824003262975426,0.9467727133680024,0.8434791475476701,0.8992556337310085,0.9538085041297033,0.8381768124808809,0.9466707453859489,0.8443889681407513
ap,0.8319416090492269,0.6727056119636287,0.0357928057609731,0.047777610182233754,0.08966789228725629,0.2671567057442495,0.07939997403105939,0.06262328881849381,0.17456752678330836,0.10600956475810985,0.15596882884609242,0.02455985172516613
