,precision,recall,f1-score,support
0,0.9743788819875776,0.88287020752726,0.9263701789998154,2843.0
1,0.13506493506493505,0.4406779661016949,0.2067594433399602,118.0
accuracy,0.8652482269503546,0.8652482269503546,0.8652482269503546,0.8652482269503546
macro avg,0.5547219085262564,0.6617740868144775,0.5665648111698878,2961.0
weighted avg,0.940931044859286,0.8652482269503546,0.897692682610804,2961.0
