,0,1,2,3,4,5,6,7,8,9,10,11
label,befree,sven,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
roc,0.8150487012987012,0.8250847457627118,0.9107397595272061,0.8332993682494395,0.9091465279902111,0.9367798511267462,0.8666258794738452,0.9148567349852147,0.9639033343530132,0.8903844192923421,0.9394310186601407,0.9285544460294817
ap,0.859114409017876,0.7245399775905677,0.07480882498734918,0.025108321529399506,0.1556548741175535,0.4209236006829195,0.02965734206215742,0.05043754887485315,0.186497364619008,0.033222413938990024,0.11756240977453697,0.07454784335861374
