fpr,tpr,threshold
0.0,0.0,1.8368852147320274
7.036307345904869e-05,0.0,0.8368852147320275
0.004995778215592457,0.0,0.7702656232987248
0.004995778215592457,0.00847457627118644,0.7701817251521215
0.007951027300872502,0.00847457627118644,0.7502884908765365
0.007951027300872502,0.01694915254237288,0.7492332878066674
0.00971010413734872,0.01694915254237288,0.73996306047982
0.00971010413734872,0.025423728813559324,0.7394075958421645
0.010484097945398256,0.025423728813559324,0.734801009249631
0.010484097945398256,0.03389830508474576,0.7347595118170299
0.011398817900365888,0.03389830508474576,0.7297607541940688
0.011398817900365888,0.0423728813559322,0.7294331485566555
0.01231353785533352,0.0423728813559322,0.7259536115234485
0.01231353785533352,0.05084745762711865,0.7257793563728515
0.01400225161835069,0.05084745762711865,0.717815670498244
0.01400225161835069,0.059322033898305086,0.7173912120665555
0.016324233042499296,0.059322033898305086,0.7061492873889537
0.016324233042499296,0.06779661016949153,0.7060228327765624
0.017520405291303123,0.06779661016949153,0.7016610901775914
0.017520405291303123,0.07627118644067797,0.7014183649867595
0.02526034337179848,0.07627118644067797,0.6728796139061596
0.02526034337179848,0.0847457627118644,0.6727570211936297
0.025471432592175627,0.0847457627118644,0.672481786981026
0.025471432592175627,0.09322033898305085,0.6721605833572598
0.02575288488601182,0.09322033898305085,0.6705665779368558
0.02575288488601182,0.1016949152542373,0.670149043265424
0.027089783281733747,0.1016949152542373,0.6662445949166771
0.027089783281733747,0.11016949152542373,0.6659026383007152
0.030819026175063328,0.11016949152542373,0.6526813660977302
0.030819026175063328,0.11864406779661017,0.6525996322168827
0.033281733746130034,0.11864406779661017,0.6462144533482287
0.033281733746130034,0.1271186440677966,0.6459372750970597
0.03440754292147481,0.1271186440677966,0.644306545333021
0.03440754292147481,0.13559322033898305,0.6442139864689641
0.036166619757951025,0.13559322033898305,0.638135639508825
0.036166619757951025,0.1440677966101695,0.6375612362754701
0.06262313537855334,0.1440677966101695,0.5632151919999863
0.06262313537855334,0.15254237288135594,0.5631893588109081
0.06783000281452294,0.15254237288135594,0.5529544111487228
0.06783000281452294,0.16101694915254236,0.5529082406549214
0.06811145510835913,0.16101694915254236,0.5523274971137322
0.06811145510835913,0.1694915254237288,0.5522762124152445
0.07064452575288488,0.1694915254237288,0.5475885885921534
0.07064452575288488,0.17796610169491525,0.5473584373051485
0.07585139318885449,0.17796610169491525,0.5371651082912628
0.07585139318885449,0.1864406779661017,0.5369708771834096
0.07711792851111736,0.1864406779661017,0.534616497897719
0.07711792851111736,0.19491525423728814,0.5345939636594189
0.07725865465803547,0.19491525423728814,0.5344906910156944
0.07725865465803547,0.2033898305084746,0.5342999873193571
0.0781733746130031,0.2033898305084746,0.5325133224722107
0.0781733746130031,0.211864406779661,0.5323494406558044
0.0857022234731213,0.211864406779661,0.5206269318025971
0.0857022234731213,0.22033898305084745,0.5205747554408454
0.08675766957500704,0.22033898305084745,0.5185763064009663
0.08675766957500704,0.2288135593220339,0.5184692656840246
0.09217562623135378,0.2288135593220339,0.5107530161260686
0.09217562623135378,0.23728813559322035,0.5107087039841053
0.09449760765550239,0.23728813559322035,0.5083007809596064
0.09449760765550239,0.2457627118644068,0.5080543206202228
0.0969603152265691,0.2457627118644068,0.505226436834594
0.10455952716014635,0.2796610169491525,0.5
0.11715451730931607,0.2796610169491525,0.4824642122445831
0.11715451730931607,0.288135593220339,0.4824162511756766
0.1212355755699409,0.288135593220339,0.4783015418953477
0.1212355755699409,0.2966101694915254,0.4782677163030202
0.12179848015761328,0.2966101694915254,0.47797941192499643
0.12179848015761328,0.3050847457627119,0.477919994899718
0.1254573599774838,0.3050847457627119,0.47467893634860914
0.1254573599774838,0.3135593220338983,0.4746219631737018
0.12876442443005912,0.3135593220338983,0.47148678976887337
0.12876442443005912,0.3220338983050847,0.47148650039627094
0.13312693498452013,0.3220338983050847,0.4674161779392038
0.13312693498452013,0.3305084745762712,0.4673894004912014
0.13840416549394877,0.3305084745762712,0.46253536097136627
0.13840416549394877,0.3389830508474576,0.46247763542628095
0.141640866873065,0.3389830508474576,0.45969054392203224
0.141640866873065,0.3474576271186441,0.4596799555570732
0.14734027582324796,0.3474576271186441,0.45421331189095376
0.14734027582324796,0.3559322033898305,0.4539772247059059
0.1533211370672671,0.3559322033898305,0.4488709471829432
0.1533211370672671,0.3644067796610169,0.44882811262391475
0.15782437376864622,0.3644067796610169,0.4447846416070139
0.15782437376864622,0.3728813559322034,0.4446438354968239
0.16176470588235295,0.3728813559322034,0.44147180244887335
0.16176470588235295,0.3813559322033898,0.44143160542539206
0.1678862932732902,0.3813559322033898,0.43658765035355157
0.1678862932732902,0.3898305084745763,0.43656202081674406
0.17091190543202928,0.3898305084745763,0.4340504792703478
0.17091190543202928,0.3983050847457627,0.43404619763608804
0.17133408387278357,0.3983050847457627,0.4337283955090912
0.17133408387278357,0.4067796610169492,0.43368939289028996
0.17893329580636083,0.4067796610169492,0.4279388230166026
0.17893329580636083,0.4152542372881356,0.42779434215441914
0.18646214466647903,0.4152542372881356,0.422123827210872
0.18646214466647903,0.423728813559322,0.4220826004925643
0.18857303687025048,0.423728813559322,0.42001975932957925
0.18857303687025048,0.4322033898305085,0.41997943380251174
0.1942020827469744,0.4322033898305085,0.41585102657036244
0.1942020827469744,0.4406779661016949,0.4157628681835343
0.19659442724458204,0.4406779661016949,0.4133975878087394
0.19659442724458204,0.4491525423728814,0.413360603405316
0.19905713481564874,0.4491525423728814,0.4110573740434897
0.19905713481564874,0.4576271186440678,0.41104871140730176
