,precision,recall,f1-score,support
0,0.9396584440227704,0.8709110094970102,0.9039795545819642,2843.0
1,0.28875968992248063,0.4837662337662338,0.36165048543689327,308.0
accuracy,0.8330688670263409,0.8330688670263409,0.8330688670263409,0.8330688670263409
macro avg,0.6142090669726256,0.677338621631622,0.6328150200094287,3151.0
weighted avg,0.8760352081411806,0.8330688670263409,0.8509686522345565,3151.0
