0,score,known
CCL3,0.9192974712997022,0
FOS,0.919262424622636,0
TXNRD1,0.9180443814046835,0
CARM1,0.9177730938781072,0
CYP1A1,0.9176034354195124,0
CPT2,0.9171509832310596,0
CHD9,0.9169809381829364,0
IL1A,0.9167704132856783,1
PRDX4,0.916430609058611,1
TXN2,0.916273402278867,0
EHHADH,0.9160536705481053,0
TMX1,0.914927504309814,0
ABCA1,0.9146134006088603,1
GSR,0.9141515725531697,0
LIPC,0.9139590066526085,0
ACSL1,0.913905955480483,1
GSTO2,0.9131888465366634,0
CYP2C19,0.912618111774345,0
CYP2C8,0.9123971322489932,0
RBP1,0.9116199920956116,0
IL12RB1,0.9111290419207528,0
SLC25A20,0.9107273451072952,0
CYP2E1,0.9089855679397956,1
NR1I2,0.9085585673089258,0
GSTM4,0.9084048280385688,0
SCD,0.9081837905350528,0
SPPL2A,0.9072920048888033,0
SULT2A1,0.9059409145665568,0
APOA5,0.9051255723018432,1
PLA2G6,0.9048824069589174,1
GSTA3,0.9047693976073509,0
SIM1,0.9028056332205838,0
GSTA1,0.9027845252745912,1
REN,0.9015588145866257,0
APOA4,0.901502711859234,1
ME1,0.9014534447117304,0
APOC3,0.9004780237409761,1
CYP2J2,0.9002923917318574,0
PTGES,0.8997666389715251,0
GSS,0.8995344122852966,0
ALOX12,0.8987732664998491,0
CSF2,0.8986559304829679,1
IL1RN,0.89776126567441,1
GSTO1,0.89741320943346,0
SREBF1,0.8971454599236394,1
SAT2,0.8957999569298998,0
NOS3,0.8948819417156009,0
MGLL,0.89486804587265,0
ACOX1,0.8948606176564057,1
CPT1B,0.8947419823292129,0
CPT1C,0.8939308232543246,0
UGT1A9,0.8938498816744977,0
PEX11A,0.8926493989631961,0
PRDX5,0.8916288406451163,0
IL18BP,0.8913624748060877,0
SELE,0.8904294868571085,0
LPL,0.8898370457370384,0
CITED2,0.889675473780868,0
GSTT2B,0.8892742504419813,0
GPX4,0.8882332393303393,0
CES1,0.8881702488965201,0
ESRRA,0.8870333805124252,0
GPX6,0.8865652343417068,0
CYP2U1,0.8859190662695416,0
CREB1,0.88547972537647,0
TNFSF4,0.8853645860439264,0
ACE,0.8852063920931588,1
CES2,0.8851812799965476,0
CD40,0.8849344300171664,1
HNMT,0.8849068477984668,0
STRA6,0.8846658988699241,0
KL,0.8843307372203739,0
IL33,0.8841043909318247,1
TRIB3,0.8840195189109024,1
SLC27A1,0.8839857841872908,0
PLA2G2A,0.8838787337000104,0
CYP4F2,0.8836882754912762,0
OLAH,0.8831180508880223,0
IL1RAP,0.8828827769447845,0
IL13RA2,0.8822270913261779,1
RXRG,0.8821672880255743,0
DHRS4,0.881591995160705,0
IL2,0.8815405727324582,0
ELOVL1,0.8815111517620067,0
ACSL6,0.8814959102530469,0
AHR,0.8813550518652744,1
IL12RB2,0.8808871196556717,0
ACSL5,0.8795745679678011,0
FADS2,0.879425364556122,0
IFNG,0.8793453471110737,1
ACSBG1,0.8782280683800024,0
AKR1A1,0.8781407756840844,1
PLIN2,0.877919693676717,0
LIPE,0.8776019222825507,0
CYP2C9,0.8769518355064242,0
RXRB,0.8769195901812814,0
GPR29,0.8758760991101112,0
EPO,0.8757797638707291,0
IL17A,0.8756661532226381,1
IL12A,0.8754819725057911,0
SAT1,0.874920385467479,0
MAPK9,0.8741749669370905,0
ESD,0.8734130532340032,0
EPHX1,0.872879459829148,0
HMOX2,0.8727847777879236,0
CD70,0.8723429548080479,0
PNPLA2,0.8721780933841797,1
LPA,0.8720886213762096,0
TLR2,0.8720023109141783,1
VEGFA,0.8718296723657991,0
SOX9,0.8716245135389464,0
CSF3,0.8710157041347742,0
LBP,0.870761267480243,1
ASMT,0.8705075691867079,0
MAPK8,0.8693432699040131,1
APOC1,0.8688068679479677,0
TSLP,0.8687303432693965,0
NR1I3,0.8682105276418117,0
RBP4,0.8674774911825796,1
GGCX,0.867447540630537,0
MT-CO2,0.8671160416547395,0
CYP4F8,0.8662382845954255,0
PTGDS,0.86599504788734,0
CETP,0.8656571370763242,1
MAP3K5,0.8650864721826111,1
LIPG,0.8639343880558642,0
IRAK1,0.8630934053575355,1
PLA2G10,0.863066152632774,0
EPHX2,0.862524022648567,0
GUSB,0.8623489346856782,0
ELOVL2,0.8623313527674988,1
MGST3,0.8617285309532068,0
DGAT1,0.8610460805238965,0
PRDX2,0.8608877906478218,0
AGT,0.8608284777610852,1
IL23R,0.8605130283902875,0
AHRR,0.8598095532895136,0
RDH8,0.859591538879511,0
APOE,0.8594233710646336,1
ATF4,0.859131056110599,0
MAPK10,0.8580044419274826,0
CYP4F3,0.8579901004713741,0
DHRS3,0.8577729287489506,0
THRB,0.8576215723994962,1
PPARD,0.8571774865083556,1
NR1H4,0.8569496625537316,1
MMP9,0.8567743023548774,1
PON1,0.8565816191596238,1
STAT3,0.856035305109225,0
MED1,0.8558157174240455,0
NCOA1,0.8553344484021963,0
SRA1,0.8551767260624625,0
FOXP3,0.8551120778034191,0
RELA,0.8541018109139411,0
IGF1,0.8540247063142461,1
IDO2,0.8536294853349615,0
PNLIPRP1,0.8535738300961007,0
IDE,0.8535021954046489,0
SDC2,0.8528664209351472,0
TXNIP,0.8524685862205449,1
RGL1,0.851438570933605,0
TYRO3,0.8512597283229985,0
NFKBIA,0.8508864208285795,0
IL1R1,0.8506147298816987,1
PLAT,0.8504551021466561,0
TLR9,0.8503122227525518,1
SERPINB2,0.8497229255298933,1
MGST2,0.8489136195321485,0
FABP3,0.8486169909099818,0
MAF,0.848314592880351,0
IRS1,0.8478610643168273,0
LCAT,0.8476776099191331,0
IL1R2,0.8473499409420664,0
STAT4,0.8463445137553566,0
EDN1,0.8462682082765516,0
MAP4K4,0.8462185887169945,0
MAOB,0.8461007487807923,0
NR5A1,0.8454099887392899,0
AOX1,0.8453835973853319,0
FABP6,0.8449762638384597,0
ITGAM,0.8439419468426699,0
CYP2C18,0.8437369875054758,0
FMO1,0.8434907431631927,0
IRAK4,0.8426504557890152,0
B3GAT2,0.84234223114325,0
JUNB,0.8422378312452143,0
APOC2,0.8420294604600106,0
CD27,0.8417212013206947,0
ELOVL6,0.8416419276732482,1
PAPPA2,0.8415812190027285,0
AKT1,0.8402127259940951,0
FGF21,0.8401617080504946,1
ABCC3,0.8401522837531502,0
APOB,0.8395348606673819,1
ACSL3,0.8394087729217008,0
SDR16C5,0.8388766883434663,0
FADS1,0.8385800231779521,0
IRAK2,0.8383402877047856,0
SDC4,0.837780042402308,1
TBX21,0.8376862071102456,0
TH,0.8372042251998347,0
GSTM5,0.8371136999212576,0
TYK2,0.8363056929562592,0
SELL,0.8363052358526606,0
IL5,0.8361760854693496,0
TIMP1,0.835833435261403,0
NAT1,0.8353280932571695,0
VLDLR,0.8348675069860538,1
PLTP,0.8348654238572717,0
ELOVL5,0.8339277274238436,0
MINK1,0.8338550705147617,0
FN1,0.8325492879528674,1
ACSM3,0.8320722797818587,0
IL9,0.8316922624067097,0
HAO1,0.8315876807819641,0
GGH,0.831283937847104,0
PNLIP,0.8310943552327417,0
PTGIS,0.8304014038001393,0
BCL2,0.8303253772424886,0
MAP2K6,0.8300641227326736,0
FABP2,0.8286135525072916,0
MAP3K1,0.8285553170562939,0
ALDH3B1,0.8282867747514133,0
CCL17,0.8281814441094749,0
MPO,0.8280921436619324,1
ERF,0.8280585883360481,0
IL18RAP,0.8278637999723182,0
AANAT,0.8275354120961466,0
LEPR,0.8273690828652631,0
CYP3A4,0.8271656285114242,0
CSF1,0.8270049711025905,0
CBR3,0.8268793962683176,0
PTPN1,0.8268640402461109,1
RBP5,0.8267642249041234,0
MAOA,0.8267551954292127,0
GC,0.8264948750504745,1
PLG,0.826292355278915,1
IL7,0.8262611041898591,0
AZIN2,0.8262102985657946,0
S100B,0.8260880970079347,0
CD14,0.8257557691479643,1
JUN,0.8256769264733466,1
CRAT,0.8248701331549877,0
DDIT3,0.8247812185312785,0
LIPF,0.8246796705411017,0
PNLIPRP3,0.8240503702369396,0
NFATC1,0.8239353765524304,0
KLF2,0.8237552964562435,0
CREB3L3,0.8236600969736276,0
UGT1A3,0.8234333624402383,0
F2,0.8232765929099282,1
PLA2G7,0.8229897618999666,0
AGER,0.8228757223244421,1
SLC27A2,0.8226434914840126,1
CYP2R1,0.8219243920724667,0
PRDX6,0.8215642079698917,0
IL13RA1,0.8212204646110024,0
INMT,0.8206987482251755,0
LRP8,0.8200397388366061,0
CYP1B1,0.818939803603139,0
CYP1A2,0.8176971623913181,1
TBL1X,0.8171144831545357,0
ETS1,0.8168130825943785,0
SERPINC1,0.8165800186006341,1
MYD88,0.8165508680625702,1
LMF1,0.816501153872935,0
PNPLA3,0.8158288708593154,1
GPC3,0.8158064314758602,0
CTLA4,0.8145857870842953,0
TLR1,0.814500459988642,0
NRIP1,0.8139858611372571,0
ISX,0.8139134729593414,0
ABCB4,0.8137026239928647,1
IL6R,0.8130917901014738,0
TFPI,0.8130616306337052,0
SDC1,0.8129903758695075,0
FXYD2,0.8123016598446444,0
CSF1R,0.8122486487238241,0
KLK1,0.8120704441902318,0
ABCB1,0.8120295968951549,0
UGT1A8,0.8119621226260963,0
MAP3K11,0.8110121993180213,1
SLC35A2,0.8105284530089623,0
GRSF1,0.8098526775330447,0
MMP1,0.8095418014508083,1
PTBP3,0.8094330146503257,0
TBL1XR1,0.8090185548951053,0
RIPK3,0.8080780249746699,1
SP1,0.8079325588757786,0
ADH7,0.807055488399093,0
ACADL,0.8064996616084417,0
PLA2G2D,0.8062298144169274,0
UGT1A4,0.8061596827387317,0
