,precision,recall,f1-score,support
0,0.9640718562874252,0.805,0.8773841961852862,200.0
1,0.22,0.6470588235294118,0.3283582089552239,17.0
accuracy,0.7926267281105991,0.7926267281105991,0.7926267281105991,0.7926267281105991
macro avg,0.5920359281437126,0.7260294117647059,0.6028712025702551,217.0
weighted avg,0.9057805127073044,0.7926267281105991,0.8343729437294749,217.0
