,0,1,2,3,4,5,6,7,8,9,10,11
label,befree,sven,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
roc,0.8031331168831171,0.8153389830508474,0.9131852455675565,0.8622376197269207,0.8910981951667175,0.9215866218007546,0.9074130722952992,0.9301519322932599,0.9708371571326604,0.9004792495156521,0.9243397573162027,0.8838563956252972
ap,0.861365882972247,0.7101943797282286,0.1781454054682018,0.028695206182548016,0.22518837524000887,0.23855288711302525,0.040603486832476846,0.05787248645542968,0.42725950986455186,0.0434657460475429,0.09712286786690238,0.04379423691595041
