,precision,recall,f1-score,support
0,0.9740150880134115,0.8174463594794231,0.8888888888888888,2843.0
1,0.09739130434782609,0.4745762711864407,0.16161616161616163,118.0
accuracy,0.8037825059101655,0.8037825059101655,0.8037825059101655,0.8037825059101655
macro avg,0.5357031961806188,0.6460113153329319,0.5252525252525252,2961.0
weighted avg,0.9390804015991803,0.8037825059101655,0.8599060513954131,2961.0
