,precision,recall,f1-score,support
0,0.9709576138147566,0.8702075272599367,0.9178260063068076,2843.0
1,0.10653753026634383,0.3728813559322034,0.16572504708097927,118.0
accuracy,0.850388382303276,0.850388382303276,0.850388382303276,0.850388382303276
macro avg,0.5387475720405502,0.62154444159607,0.5417755266938934,2961.0
weighted avg,0.9365092619543336,0.850388382303276,0.8878537289719046,2961.0
