,label,befree,sven,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
SVC_embeddings_under,roc,0.7538961038961038,0.778771186440678,0.8239250050947625,0.6623191359282657,0.8401142041399,0.7584378505149384,0.9380034669113898,0.8329764453961456,0.922606301621291,0.8798817171408178,0.958600999286224,0.9290299572039944
SVC_embeddings_under,ap,0.8334256160838189,0.733745578426217,0.0342565538828879,0.0294651479485207,0.1546169887886286,0.115100633694404,0.0423746368676341,0.0384625358686384,0.1923946055052734,0.060434751596041,0.1169999285957177,0.0322905995485448
SVC_embeddings_over,roc,0.727775974025974,0.738728813559322,0.9079885877318116,0.8335031587528021,0.7824003262975426,0.9467727133680024,0.8434791475476701,0.8992556337310085,0.9538085041297032,0.8381768124808809,0.9466707453859488,0.8443889681407513
SVC_embeddings_over,ap,0.8319416090492269,0.6727056119636287,0.0357928057609731,0.0477776101822337,0.0896678922872562,0.2671567057442495,0.0793999740310593,0.0626232888184938,0.1745675267833083,0.1060095647581098,0.1559688288460924,0.0245598517251661
SVC_mod_scores_under,roc,0.8150487012987012,0.8250847457627118,0.910739759527206,0.8332993682494395,0.9091465279902112,0.9367798511267462,0.8666258794738452,0.9148567349852148,0.9639033343530132,0.8903844192923421,0.9394310186601408,0.9285544460294816
SVC_mod_scores_under,ap,0.859114409017876,0.7245399775905677,0.0748088249873491,0.0251083215293995,0.1556548741175535,0.4209236006829195,0.0296573420621574,0.0504375488748531,0.186497364619008,0.03322241393899,0.1175624097745369,0.0745478433586137
SVC_mod_scores_over,roc,0.7954301948051947,0.7952754237288137,0.9224577134705522,0.8666191155492152,0.8675435913123279,0.9282145406342408,0.9028245131028856,0.929540124400938,0.9671663097787294,0.8519424900581217,0.9381054348934436,0.8902757964812174
SVC_mod_scores_over,ap,0.8620967726810657,0.6971050266528398,0.1922390562435587,0.028278924487171,0.2759283599340106,0.1856711804676227,0.0414721883989998,0.0489875709135562,0.4675625135899108,0.0376773179571032,0.1208715765945867,0.0379355060639752
SVC_fs_mod_scores_under,roc,0.8157467532467533,0.8338559322033899,0.8856735276136132,0.8604035051966579,0.9080248801876212,0.949729784847558,0.864994391760987,0.9303558682573672,0.9631895584786376,0.8851840522076069,0.9204649739981646,0.9453162149310508
SVC_fs_mod_scores_under,ap,0.8727332768231677,0.7391906801617633,0.0502454818508867,0.0227026176548848,0.2220317765676221,0.4931330625895843,0.0319485779445879,0.0588092307523641,0.1759402605101656,0.0320127116659699,0.1202782790110871,0.0634344029780573
SVC_fs_mod_scores_over,roc,0.8031331168831171,0.8153389830508474,0.9131852455675564,0.8622376197269207,0.8910981951667175,0.9215866218007546,0.9074130722952992,0.93015193229326,0.9708371571326604,0.9004792495156521,0.9243397573162028,0.8838563956252972
SVC_fs_mod_scores_over,ap,0.861365882972247,0.7101943797282286,0.1781454054682018,0.028695206182548,0.2251883752400088,0.2385528871130252,0.0406034868324768,0.0578724864554296,0.4272595098645518,0.0434657460475429,0.0971228678669023,0.0437942369159504
