,precision,recall,f1-score,support
0,0.9460183767228177,0.8691523039043264,0.9059578368469294,2843.0
1,0.3098330241187384,0.5422077922077922,0.39433293978748524,308.0
accuracy,0.8371945414154237,0.8371945414154237,0.8371945414154237,0.8371945414154237
macro avg,0.6279257004207781,0.7056800480560593,0.6501453883172074,3151.0
weighted avg,0.8838333279757355,0.8371945414154237,0.855948167442198,3151.0
