,precision,recall,f1-score,support
0,0.978920741989882,0.8167428772423496,0.8905081495685524,2843.0
1,0.11544991511035653,0.576271186440678,0.19236209335219234,118.0
accuracy,0.8071597433299561,0.8071597433299561,0.8071597433299561,0.8071597433299561
macro avg,0.5471853285501193,0.6965070318415139,0.5414351214603723,2961.0
weighted avg,0.9445102193381482,0.8071597433299561,0.8626860507392615,2961.0
