,0,1,2,3,4,5,6,7,8,9,10,11
label,befree,sven,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
roc,0.7954301948051947,0.7952754237288137,0.9224577134705522,0.8666191155492152,0.8675435913123279,0.9282145406342408,0.9028245131028857,0.929540124400938,0.9671663097787294,0.8519424900581217,0.9381054348934436,0.8902757964812174
ap,0.8620967726810657,0.6971050266528398,0.19223905624355875,0.02827892448717105,0.27592835993401066,0.18567118046762277,0.041472188398999806,0.04898757091355621,0.4675625135899108,0.03767731795710329,0.12087157659458674,0.03793550606397521
