,precision,recall,f1-score,support
0,0.9972386587771204,0.8892015476609215,0.9401264410561547,2843.0
1,0.018691588785046728,0.46153846153846156,0.03592814371257485,13.0
accuracy,0.8872549019607843,0.8872549019607843,0.8872549019607843,0.8872549019607843
macro avg,0.5079651237810835,0.6753700045996915,0.48802729238436476,2856.0
weighted avg,0.9927844879403217,0.8872549019607843,0.9360106925038206,2856.0
