,precision,recall,f1-score,support
0,0.9995678478824547,0.8135772071755188,0.8970331588132636,2843.0
1,0.02214022140221402,0.9230769230769231,0.04324324324324324,13.0
accuracy,0.8140756302521008,0.8140756302521008,0.8140756302521008,0.8140756302521008
macro avg,0.5108540346423344,0.8683270651262209,0.47013820102825343,2856.0
weighted avg,0.9951187725518373,0.8140756302521008,0.893146860177966,2856.0
