,precision,recall,f1-score,support
0,0.9980747015787447,0.911712979247274,0.9529411764705882,2843.0
1,0.03088803088803089,0.6153846153846154,0.058823529411764705,13.0
accuracy,0.9103641456582633,0.9103641456582633,0.9103641456582633,0.9103641456582633
macro avg,0.5144813662333878,0.7635487973159447,0.5058823529411764,2856.0
weighted avg,0.9936722412429676,0.9103641456582633,0.9488713132311748,2856.0
